Text,Score,processed_text,score_category,label
الذكاء الاصطناعي يغير العالم بشكل جذري ويؤثر على جميع جوانب حياتنا اليومية,8.5,ذكاء اصطناع يغير عالم شكل جذر يءثر علي جوانب حياتنا يومي,Excellent,3
تطور التكنولوجيا الحديثة يساعد في تحسين الخدمات الصحية والتعليمية,7.0,تطور تكنولوجيا حديث يساعد تحس خدم صحي التعليمي,Bon,2
الرياضة لها فوائد صحية عديدة وتساعد على تحسين اللياقة البدنية,6.5,رياض واءد صحي عديد تساعد علي تحس لياق بدني,Bon,2
التغير المناخي يشكل تهديدا كبيرا للبشرية ويتطلب إجراءات عاجلة,9.0,تغير مناخ يشكل تهديدا بيرا لبشري يتطلب اجراء عاجل,Excellent,3
الاقتصاد الرقمي يوفر فرصا جديدة للشركات الناشئة والمبدعين,7.5,اقتصاد رقم يوفر رصا جديد لشرك ناشء المبدع,Bon,2
التعليم عن بعد أصبح ضرورة في العصر الحديث وله مزايا متعددة,8.0,تعليم اصبح ضرور عصر حديث وله مزايا متعدد,Excellent,3
الأمن السيبراني أصبح من أهم التحديات في عالم الإنترنت المعاصر,8.5,امن سيبران اصبح اهم تحدي عالم انترنت معاصر,Excellent,3
الطاقة المتجددة هي المستقبل للحفاظ على البيئة وتقليل الانبعاثات,9.5,طاق متجدد مستقبل لحفاظ علي بيء تقليل انبعاث,Excellent,3
الثورة الصناعية الرابعة تعتمد على الأتمتة والذكاء الاصطناعي,8.0,ثور صناعي رابع تعتمد علي اتمت الذكاء اصطناع,Excellent,3
البحث العلمي يساهم في تطوير المجتمعات وحل المشكلات المعقدة,7.5,بحث علم يساهم تطوير مجتمع وحل مشكل معقد,Bon,2
الإنترنت غير طريقة التواصل بين الناس في جميع أنحاء العالم,6.0,انترنت طريق تواصل ناس انحاء عالم,Bon,2
الطب الحديث حقق إنجازات كبيرة في علاج الأمراض المستعصية,8.5,الطب حديث حقق انجاز بير علاج امراض مستعصي,Excellent,3
الفن والثقافة يعكسان هوية الشعوب وتاريخها الحضاري,5.5,الف الثقاف يعكس هوي شعوب تاريخ حضار,Moyen,1
التجارة الإلكترونية سهلت عملية الشراء والبيع عبر الإنترنت,7.0,تجار الكتروني سهلت عملي شراء البيع عبر انترنت,Bon,2
الزراعة الذكية تستخدم التكنولوجيا لزيادة الإنتاج وتقليل الهدر,8.0,زراع ذكي تستخدم تكنولوجيا زياد انتاج تقليل هدر,Excellent,3
الفضاء الخارجي يفتح آفاقا جديدة للاستكشاف والبحث العلمي,9.0,فضاء خارج يفتح افاقا جديد لاستكشاف البحث علم,Excellent,3
